"","state","location","both_sexes_2012"
"1","Oklahoma","Adair County",13
"2","Oklahoma","Alfalfa County",17
"3","Oklahoma","Atoka County",12.1
"4","Oklahoma","Beaver County",14.7
"5","Oklahoma","Beckham County",15.3
"6","Oklahoma","Blaine County",14.7
"7","Oklahoma","Bryan County",13
"8","Oklahoma","Caddo County",13.9
"9","Oklahoma","Canadian County",16.5
"10","Oklahoma","Carter County",15.2
"11","Oklahoma","Cherokee County",15.5
"12","Oklahoma","Choctaw County",11
"13","Oklahoma","Cimarron County",14.7
"14","Oklahoma","Cleveland County",16.5
"15","Oklahoma","Coal County",13.4
"16","Oklahoma","Comanche County",17.2
"17","Oklahoma","Cotton County",11.5
"18","Oklahoma","Craig County",13.4
"19","Oklahoma","Creek County",14.6
"20","Oklahoma","Custer County",15.2
"21","Oklahoma","Delaware County",15.6
"22","Oklahoma","Dewey County",12.3
"23","Oklahoma","Ellis County",13.7
"24","Oklahoma","Garfield County",17
"25","Oklahoma","Garvin County",12.9
"26","Oklahoma","Grady County",14.1
"27","Oklahoma","Grant County",16.3
"28","Oklahoma","Greer County",12.9
"29","Oklahoma","Harmon County",11.7
"30","Oklahoma","Harper County",15.2
"31","Oklahoma","Haskell County",12.3
"32","Oklahoma","Hughes County",14.2
"33","Oklahoma","Jackson County",14.3
"34","Oklahoma","Jefferson County",11.5
"35","Oklahoma","Johnston County",12.5
"36","Oklahoma","Kay County",17.6
"37","Oklahoma","Kingfisher County",16.3
"38","Oklahoma","Kiowa County",13.2
"39","Oklahoma","Latimer County",12.2
"40","Oklahoma","Le Flore County",13.2
"41","Oklahoma","Lincoln County",14.4
"42","Oklahoma","Logan County",16.1
"43","Oklahoma","Love County",14.3
"44","Oklahoma","Major County",12.8
"45","Oklahoma","Marshall County",14.3
"46","Oklahoma","Mayes County",14
"47","Oklahoma","McClain County",15
"48","Oklahoma","McCurtain County",14.1
"49","Oklahoma","McIntosh County",18
"50","Oklahoma","Murray County",14.6
"51","Oklahoma","Muskogee County",13
"52","Oklahoma","Noble County",14.6
"53","Oklahoma","Nowata County",13.9
"54","Oklahoma","Okfuskee County",13.7
"55","Oklahoma","Oklahoma",15.5
"56","Oklahoma","Oklahoma County",16.1
"57","Oklahoma","Okmulgee County",13.4
"58","Oklahoma","Osage County",15.1
"59","Oklahoma","Ottawa County",14.4
"60","Oklahoma","Pawnee County",14.6
"61","Oklahoma","Payne County",15.7
"62","Oklahoma","Pittsburg County",13.2
"63","Oklahoma","Pontotoc County",14.4
"64","Oklahoma","Pottawatomie County",13.5
"65","Oklahoma","Pushmataha County",12.9
"66","Oklahoma","Roger Mills County",14.6
"67","Oklahoma","Rogers County",14.7
"68","Oklahoma","Seminole County",15.1
"69","Oklahoma","Sequoyah County",14.9
"70","Oklahoma","Stephens County",13.7
"71","Oklahoma","Texas County",15.8
"72","Oklahoma","Tillman County",11.2
"73","Oklahoma","Tulsa County",16.4
"74","Oklahoma","Wagoner County",15.3
"75","Oklahoma","Washington County",14.8
"76","Oklahoma","Washita County",12.2
"77","Oklahoma","Woods County",18
"78","Oklahoma","Woodward County",15.4
