"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","2,332"
"1/1/2007","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","3,918"
"1/1/2007","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","624"
"1/1/2007","OR","OR-503","Central Oregon CoC","Total Homeless","2,029"
"1/1/2007","OR","OR-505","Oregon Balance of State CoC","Total Homeless","6,431"
"1/1/2007","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","680"
"1/1/2007","OR","OR-507","Clackamas County CoC","Total Homeless","1,576"
"1/1/2008","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","2,137"
"1/1/2008","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","3,918"
"1/1/2008","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","654"
"1/1/2008","OR","OR-503","Central Oregon CoC","Total Homeless","1,736"
"1/1/2008","OR","OR-505","Oregon Balance of State CoC","Total Homeless","9,860"
"1/1/2008","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","772"
"1/1/2008","OR","OR-507","Clackamas County CoC","Total Homeless","1,576"
"1/1/2009","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","2,232"
"1/1/2009","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","4,085"
"1/1/2009","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","899"
"1/1/2009","OR","OR-503","Central Oregon CoC","Total Homeless","742"
"1/1/2009","OR","OR-505","Oregon Balance of State CoC","Total Homeless","6,777"
"1/1/2009","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","748"
"1/1/2009","OR","OR-507","Clackamas County CoC","Total Homeless","1,826"
"1/1/2010","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","2,580"
"1/1/2010","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","4,235"
"1/1/2010","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","922"
"1/1/2010","OR","OR-503","Central Oregon CoC","Total Homeless","569"
"1/1/2010","OR","OR-505","Oregon Balance of State CoC","Total Homeless","8,814"
"1/1/2010","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","950"
"1/1/2010","OR","OR-507","Clackamas County CoC","Total Homeless","1,422"
"1/1/2011","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","2,140"
"1/1/2011","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","4,497"
"1/1/2011","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","1,049"
"1/1/2011","OR","OR-503","Central Oregon CoC","Total Homeless","802"
"1/1/2011","OR","OR-505","Oregon Balance of State CoC","Total Homeless","7,006"
"1/1/2011","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","752"
"1/1/2011","OR","OR-507","Clackamas County CoC","Total Homeless","1,008"
"1/1/2012","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","2,057"
"1/1/2012","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","4,423"
"1/1/2012","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","691"
"1/1/2012","OR","OR-503","Central Oregon CoC","Total Homeless","808"
"1/1/2012","OR","OR-505","Oregon Balance of State CoC","Total Homeless","6,105"
"1/1/2012","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","751"
"1/1/2012","OR","OR-507","Clackamas County CoC","Total Homeless","993"
"1/1/2013","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","1,751"
"1/1/2013","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","4,441"
"1/1/2013","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","548"
"1/1/2013","OR","OR-503","Central Oregon CoC","Total Homeless","506"
"1/1/2013","OR","OR-505","Oregon Balance of State CoC","Total Homeless","5,525"
"1/1/2013","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","432"
"1/1/2013","OR","OR-507","Clackamas County CoC","Total Homeless","619"
"1/1/2014","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","1,767"
"1/1/2014","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","3,927"
"1/1/2014","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","625"
"1/1/2014","OR","OR-503","Central Oregon CoC","Total Homeless","568"
"1/1/2014","OR","OR-505","Oregon Balance of State CoC","Total Homeless","4,122"
"1/1/2014","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","537"
"1/1/2014","OR","OR-507","Clackamas County CoC","Total Homeless","618"
"1/1/2015","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","1,473"
"1/1/2015","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","3,801"
"1/1/2015","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","729"
"1/1/2015","OR","OR-503","Central Oregon CoC","Total Homeless","594"
"1/1/2015","OR","OR-505","Oregon Balance of State CoC","Total Homeless","5,544"
"1/1/2015","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","591"
"1/1/2015","OR","OR-507","Clackamas County CoC","Total Homeless","494"
"1/1/2016","OR","OR-500","Eugene/Springfield/Lane County CoC","Total Homeless","1,451"
"1/1/2016","OR","OR-501","Portland-Gresham-Multnomah County CoC","Total Homeless","3,914"
"1/1/2016","OR","OR-502","Medford/Ashland/Jackson County CoC","Total Homeless","527"
"1/1/2016","OR","OR-503","Central Oregon CoC","Total Homeless","602"
"1/1/2016","OR","OR-505","Oregon Balance of State CoC","Total Homeless","5,710"
"1/1/2016","OR","OR-506","Hillsboro/Beaverton/Washington County CoC","Total Homeless","571"
"1/1/2016","OR","OR-507","Clackamas County CoC","Total Homeless","463"
