"","state","location","both_sexes_2012"
"1","Ohio","Adams County",16.9
"2","Ohio","Allen County",19.2
"3","Ohio","Ashland County",17.1
"4","Ohio","Ashtabula County",18.8
"5","Ohio","Athens County",18.2
"6","Ohio","Auglaize County",22
"7","Ohio","Belmont County",20.4
"8","Ohio","Brown County",17.3
"9","Ohio","Butler County",19.2
"10","Ohio","Carroll County",18.8
"11","Ohio","Champaign County",17.5
"12","Ohio","Clark County",18.1
"13","Ohio","Clermont County",18.7
"14","Ohio","Clinton County",17.7
"15","Ohio","Columbiana County",18.8
"16","Ohio","Coshocton County",18
"17","Ohio","Crawford County",19.9
"18","Ohio","Cuyahoga County",20.1
"19","Ohio","Darke County",18.5
"20","Ohio","Defiance County",20.3
"21","Ohio","Delaware County",18.9
"22","Ohio","Erie County",22.6
"23","Ohio","Fairfield County",19.7
"24","Ohio","Fayette County",17.3
"25","Ohio","Franklin County",19.2
"26","Ohio","Fulton County",20.1
"27","Ohio","Gallia County",17.1
"28","Ohio","Geauga County",21.3
"29","Ohio","Greene County",18.9
"30","Ohio","Guernsey County",17.6
"31","Ohio","Hamilton County",21.8
"32","Ohio","Hancock County",19.7
"33","Ohio","Hardin County",18.2
"34","Ohio","Harrison County",18.9
"35","Ohio","Henry County",20.2
"36","Ohio","Highland County",16.8
"37","Ohio","Hocking County",17.2
"38","Ohio","Holmes County",13.7
"39","Ohio","Huron County",21.2
"40","Ohio","Jackson County",17.4
"41","Ohio","Jefferson County",22
"42","Ohio","Knox County",17.6
"43","Ohio","Lake County",21.9
"44","Ohio","Lawrence County",16.9
"45","Ohio","Licking County",18.9
"46","Ohio","Logan County",18.6
"47","Ohio","Lorain County",21.6
"48","Ohio","Lucas County",21.5
"49","Ohio","Madison County",17.2
"50","Ohio","Mahoning County",21.7
"51","Ohio","Marion County",18.6
"52","Ohio","Medina County",22.2
"53","Ohio","Meigs County",17.6
"54","Ohio","Mercer County",27.1
"55","Ohio","Miami County",18.6
"56","Ohio","Monroe County",17.9
"57","Ohio","Montgomery County",18.7
"58","Ohio","Morgan County",18
"59","Ohio","Morrow County",16.6
"60","Ohio","Muskingum County",19.2
"61","Ohio","Noble County",19.2
"62","Ohio","Ohio",19.8
"63","Ohio","Ottawa County",22.8
"64","Ohio","Paulding County",22.2
"65","Ohio","Perry County",19.3
"66","Ohio","Pickaway County",17.4
"67","Ohio","Pike County",17.3
"68","Ohio","Portage County",19.9
"69","Ohio","Preble County",17.7
"70","Ohio","Putnam County",26.4
"71","Ohio","Richland County",17.1
"72","Ohio","Ross County",18.2
"73","Ohio","Sandusky County",21.8
"74","Ohio","Scioto County",16.8
"75","Ohio","Seneca County",23.3
"76","Ohio","Shelby County",22.4
"77","Ohio","Stark County",19.4
"78","Ohio","Summit County",21.1
"79","Ohio","Trumbull County",21.8
"80","Ohio","Tuscarawas County",18
"81","Ohio","Union County",18
"82","Ohio","Van Wert County",18.6
"83","Ohio","Vinton County",17.4
"84","Ohio","Warren County",17.8
"85","Ohio","Washington County",18.5
"86","Ohio","Wayne County",16.6
"87","Ohio","Williams County",19
"88","Ohio","Wood County",21.3
"89","Ohio","Wyandot County",21.3
