"","state","location","both_sexes_2012"
"1","Oregon","Baker County",17.8
"2","Oregon","Benton County",18.2
"3","Oregon","Clackamas County",17.6
"4","Oregon","Clatsop County",20.3
"5","Oregon","Columbia County",18.5
"6","Oregon","Coos County",16.7
"7","Oregon","Crook County",16.6
"8","Oregon","Curry County",17.3
"9","Oregon","Deschutes County",17.7
"10","Oregon","Douglas County",15.5
"11","Oregon","Gilliam County",23.6
"12","Oregon","Grant County",18.4
"13","Oregon","Harney County",18
"14","Oregon","Hood River County",17.6
"15","Oregon","Jackson County",16
"16","Oregon","Jefferson County",15.7
"17","Oregon","Josephine County",16.5
"18","Oregon","Klamath County",16.9
"19","Oregon","Lake County",19.1
"20","Oregon","Lane County",17.3
"21","Oregon","Lincoln County",17.8
"22","Oregon","Linn County",16.6
"23","Oregon","Malheur County",15.1
"24","Oregon","Marion County",15.5
"25","Oregon","Morrow County",17.6
"26","Oregon","Multnomah County",19.8
"27","Oregon","Oregon",17.6
"28","Oregon","Polk County",16.3
"29","Oregon","Sherman County",21.2
"30","Oregon","Tillamook County",18.4
"31","Oregon","Umatilla County",17
"32","Oregon","Union County",17.2
"33","Oregon","Wallowa County",19.7
"34","Oregon","Wasco County",17.3
"35","Oregon","Washington County",16.6
"36","Oregon","Wheeler County",21.6
"37","Oregon","Yamhill County",16.1
