"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2012","PA","PA-500","Philadelphia CoC","Total Homeless","5,780"
"1/1/2012","PA","PA-501","Harrisburg/Dauphin County CoC","Total Homeless","386"
"1/1/2012","PA","PA-502","Upper Darby/Chester/Haverford/Delaware County CoC","Total Homeless","604"
"1/1/2012","PA","PA-503","Wilkes-Barre/Hazleton/Luzerne County CoC","Total Homeless","178"
"1/1/2012","PA","PA-504","Lower Marion/Norristown/Abington/Montgomery County CoC","Total Homeless","419"
"1/1/2012","PA","PA-505","Chester County CoC","Total Homeless","691"
"1/1/2012","PA","PA-506","Reading/Berks County CoC","Total Homeless","340"
"1/1/2012","PA","PA-508","Scranton/Lackawanna County CoC","Total Homeless","260"
"1/1/2012","PA","PA-509","Eastern Pennsylvania CoC","Total Homeless","1,752"
"1/1/2012","PA","PA-510","Lancaster City & County CoC","Total Homeless","562"
"1/1/2012","PA","PA-511","Bristol/Bensalem/Bucks County CoC","Total Homeless","458"
"1/1/2012","PA","PA-512","York City & County CoC","Total Homeless","284"
"1/1/2012","PA","PA-600","Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC","Total Homeless","1,376"
"1/1/2012","PA","PA-601","Western Pennsylvania CoC","Total Homeless","1,097"
"1/1/2012","PA","PA-603","Beaver County CoC","Total Homeless","110"
"1/1/2012","PA","PA-605","Erie City & County CoC","Total Homeless","439"
