"","state","location","both_sexes_2012"
"1","Pennsylvania","Adams County",18.2
"2","Pennsylvania","Allegheny County",23.3
"3","Pennsylvania","Armstrong County",20
"4","Pennsylvania","Beaver County",20.8
"5","Pennsylvania","Bedford County",15.4
"6","Pennsylvania","Berks County",19.4
"7","Pennsylvania","Blair County",19.3
"8","Pennsylvania","Bradford County",20.9
"9","Pennsylvania","Bucks County",20.8
"10","Pennsylvania","Butler County",19.4
"11","Pennsylvania","Cambria County",23.2
"12","Pennsylvania","Cameron County",22.1
"13","Pennsylvania","Carbon County",21
"14","Pennsylvania","Centre County",18.5
"15","Pennsylvania","Chester County",19.7
"16","Pennsylvania","Clarion County",19.6
"17","Pennsylvania","Clearfield County",20
"18","Pennsylvania","Clinton County",19.9
"19","Pennsylvania","Columbia County",19.2
"20","Pennsylvania","Crawford County",19.5
"21","Pennsylvania","Cumberland County",18
"22","Pennsylvania","Dauphin County",17.8
"23","Pennsylvania","Delaware County",21.3
"24","Pennsylvania","Elk County",28.1
"25","Pennsylvania","Erie County",22.7
"26","Pennsylvania","Fayette County",20.9
"27","Pennsylvania","Forest County",20.6
"28","Pennsylvania","Franklin County",16.4
"29","Pennsylvania","Fulton County",17.8
"30","Pennsylvania","Greene County",17.4
"31","Pennsylvania","Huntingdon County",16.7
"32","Pennsylvania","Indiana County",19.6
"33","Pennsylvania","Jefferson County",20.6
"34","Pennsylvania","Juniata County",16.1
"35","Pennsylvania","Lackawanna County",22.6
"36","Pennsylvania","Lancaster County",14.6
"37","Pennsylvania","Lawrence County",18.9
"38","Pennsylvania","Lebanon County",17.5
"39","Pennsylvania","Lehigh County",18.7
"40","Pennsylvania","Luzerne County",23.1
"41","Pennsylvania","Lycoming County",19.2
"42","Pennsylvania","McKean County",20.4
"43","Pennsylvania","Mercer County",18.7
"44","Pennsylvania","Mifflin County",14.8
"45","Pennsylvania","Monroe County",17.8
"46","Pennsylvania","Montgomery County",20
"47","Pennsylvania","Montour County",19.4
"48","Pennsylvania","Northampton County",19.5
"49","Pennsylvania","Northumberland County",19.6
"50","Pennsylvania","Pennsylvania",20
"51","Pennsylvania","Perry County",18.4
"52","Pennsylvania","Philadelphia County",20.1
"53","Pennsylvania","Pike County",20.3
"54","Pennsylvania","Potter County",23.1
"55","Pennsylvania","Schuylkill County",20.5
"56","Pennsylvania","Snyder County",17.1
"57","Pennsylvania","Somerset County",18.1
"58","Pennsylvania","Sullivan County",21.3
"59","Pennsylvania","Susquehanna County",23
"60","Pennsylvania","Tioga County",20.9
"61","Pennsylvania","Union County",16.7
"62","Pennsylvania","Venango County",19.8
"63","Pennsylvania","Warren County",21.1
"64","Pennsylvania","Washington County",20.6
"65","Pennsylvania","Wayne County",22.7
"66","Pennsylvania","Westmoreland County",21.6
"67","Pennsylvania","Wyoming County",22.1
"68","Pennsylvania","York County",17.3
