"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","2,004"
"1/1/2007","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","2,305"
"1/1/2008","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","707"
"1/1/2008","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","2,305"
"1/1/2009","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","1,775"
"1/1/2009","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","2,295"
"1/1/2010","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","1,775"
"1/1/2010","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","2,374"
"1/1/2011","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","1,362"
"1/1/2011","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","1,538"
"1/1/2012","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","1,685"
"1/1/2012","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","1,527"
"1/1/2013","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","2,094"
"1/1/2013","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","2,034"
"1/1/2014","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","2,085"
"1/1/2014","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","2,047"
"1/1/2015","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","2,422"
"1/1/2015","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","2,096"
"1/1/2016","PR","PR-502","Puerto Rico Balance of Commonwealth CoC","Total Homeless","2,343"
"1/1/2016","PR","PR-503","South/Southeast Puerto Rico CoC","Total Homeless","2,075"
