"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,372"
"1/1/2008","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,196"
"1/1/2009","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,607"
"1/1/2010","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,282"
"1/1/2011","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,070"
"1/1/2012","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,277"
"1/1/2013","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,384"
"1/1/2014","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,190"
"1/1/2015","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,111"
"1/1/2016","RI","RI-500","Rhode Island Statewide CoC","Total Homeless","1,160"
