"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","SC","SC-500","Charleston/Low Country CoC","Total Homeless","539"
"1/1/2007","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","1,606"
"1/1/2007","SC","SC-502","Columbia/Midlands CoC","Total Homeless","1,569"
"1/1/2007","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,946"
"1/1/2008","SC","SC-500","Charleston/Low Country CoC","Total Homeless","539"
"1/1/2008","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","1,606"
"1/1/2008","SC","SC-502","Columbia/Midlands CoC","Total Homeless","1,569"
"1/1/2008","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,946"
"1/1/2009","SC","SC-500","Charleston/Low Country CoC","Total Homeless","416"
"1/1/2009","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","1,164"
"1/1/2009","SC","SC-502","Columbia/Midlands CoC","Total Homeless","1,368"
"1/1/2009","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,525"
"1/1/2010","SC","SC-500","Charleston/Low Country CoC","Total Homeless","416"
"1/1/2010","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","1,164"
"1/1/2010","SC","SC-502","Columbia/Midlands CoC","Total Homeless","1,368"
"1/1/2010","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,525"
"1/1/2011","SC","SC-500","Charleston/Low Country CoC","Total Homeless","569"
"1/1/2011","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","1,401"
"1/1/2011","SC","SC-502","Columbia/Midlands CoC","Total Homeless","1,621"
"1/1/2011","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,502"
"1/1/2012","SC","SC-500","Charleston/Low Country CoC","Total Homeless","483"
"1/1/2012","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","1,324"
"1/1/2012","SC","SC-502","Columbia/Midlands CoC","Total Homeless","1,648"
"1/1/2012","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,460"
"1/1/2013","SC","SC-500","Charleston/Low Country CoC","Total Homeless","733"
"1/1/2013","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","2,308"
"1/1/2013","SC","SC-502","Columbia/Midlands CoC","Total Homeless","2,007"
"1/1/2013","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,496"
"1/1/2014","SC","SC-500","Charleston/Low Country CoC","Total Homeless","516"
"1/1/2014","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","1,636"
"1/1/2014","SC","SC-502","Columbia/Midlands CoC","Total Homeless","1,588"
"1/1/2014","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,317"
"1/1/2015","SC","SC-500","Charleston/Low Country CoC","Total Homeless","606"
"1/1/2015","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","1,961"
"1/1/2015","SC","SC-502","Columbia/Midlands CoC","Total Homeless","1,468"
"1/1/2015","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,319"
"1/1/2016","SC","SC-500","Charleston/Low Country CoC","Total Homeless","550"
"1/1/2016","SC","SC-501","Greenville/Anderson/Spartanburg Upstate CoC","Total Homeless","1,829"
"1/1/2016","SC","SC-502","Columbia/Midlands CoC","Total Homeless","1,350"
"1/1/2016","SC","SC-503","Myrtle Beach/Sumter City & County CoC","Total Homeless","1,322"
