"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","SD","SD-500","South Dakota Statewide CoC","Total Homeless","579"
"1/1/2008","SD","SD-500","South Dakota Statewide CoC","Total Homeless","579"
"1/1/2009","SD","SD-500","South Dakota Statewide CoC","Total Homeless","731"
"1/1/2010","SD","SD-500","South Dakota Statewide CoC","Total Homeless","731"
"1/1/2011","SD","SD-500","South Dakota Statewide CoC","Total Homeless","826"
"1/1/2012","SD","SD-500","South Dakota Statewide CoC","Total Homeless","859"
"1/1/2013","SD","SD-500","South Dakota Statewide CoC","Total Homeless","1,094"
"1/1/2014","SD","SD-500","South Dakota Statewide CoC","Total Homeless","885"
"1/1/2015","SD","SD-500","South Dakota Statewide CoC","Total Homeless","1,036"
"1/1/2016","SD","SD-500","South Dakota Statewide CoC","Total Homeless","1,072"
