"","state","location","both_sexes_2012"
"1","South Carolina","Abbeville County",14
"2","South Carolina","Aiken County",14.6
"3","South Carolina","Allendale County",16
"4","South Carolina","Anderson County",13.6
"5","South Carolina","Bamberg County",14.7
"6","South Carolina","Barnwell County",12.6
"7","South Carolina","Beaufort County",20.3
"8","South Carolina","Berkeley County",17
"9","South Carolina","Calhoun County",14.7
"10","South Carolina","Charleston County",23.6
"11","South Carolina","Cherokee County",13
"12","South Carolina","Chester County",12.9
"13","South Carolina","Chesterfield County",12
"14","South Carolina","Clarendon County",13.9
"15","South Carolina","Colleton County",16.6
"16","South Carolina","Darlington County",13.3
"17","South Carolina","Dillon County",11.9
"18","South Carolina","Dorchester County",19.7
"19","South Carolina","Edgefield County",14.1
"20","South Carolina","Fairfield County",12.8
"21","South Carolina","Florence County",14.9
"22","South Carolina","Georgetown County",16.8
"23","South Carolina","Greenville County",15.4
"24","South Carolina","Greenwood County",15.2
"25","South Carolina","Hampton County",14
"26","South Carolina","Horry County",18.7
"27","South Carolina","Jasper County",15.1
"28","South Carolina","Kershaw County",14.8
"29","South Carolina","Lancaster County",13.9
"30","South Carolina","Laurens County",13.8
"31","South Carolina","Lee County",12.9
"32","South Carolina","Lexington County",18.8
"33","South Carolina","Marion County",12.8
"34","South Carolina","Marlboro County",13.5
"35","South Carolina","McCormick County",14.3
"36","South Carolina","Newberry County",17.3
"37","South Carolina","Oconee County",13.4
"38","South Carolina","Orangeburg County",14.3
"39","South Carolina","Pickens County",14.1
"40","South Carolina","Richland County",18.8
"41","South Carolina","Saluda County",15.7
"42","South Carolina","South Carolina",16.7
"43","South Carolina","Spartanburg County",14.9
"44","South Carolina","Sumter County",14.4
"45","South Carolina","Union County",12.1
"46","South Carolina","Williamsburg County",13.3
"47","South Carolina","York County",16
