"","state","location","both_sexes_2012"
"1","South Dakota","Aurora County",25.8
"2","South Dakota","Beadle County",22.7
"3","South Dakota","Bennett County",22.9
"4","South Dakota","Bon Homme County",28
"5","South Dakota","Brookings County",22.2
"6","South Dakota","Brown County",23.2
"7","South Dakota","Brule County",24.6
"8","South Dakota","Buffalo County",23.7
"9","South Dakota","Butte County",21.2
"10","South Dakota","Campbell County",23.3
"11","South Dakota","Charles Mix County",23.9
"12","South Dakota","Clark County",25.4
"13","South Dakota","Clay County",24.8
"14","South Dakota","Codington County",25.5
"15","South Dakota","Corson County",22.1
"16","South Dakota","Custer County",19.4
"17","South Dakota","Davison County",25
"18","South Dakota","Day County",25.4
"19","South Dakota","Deuel County",25
"20","South Dakota","Dewey County",22.3
"21","South Dakota","Douglas County",17.4
"22","South Dakota","Edmunds County",24.3
"23","South Dakota","Fall River County",23.3
"24","South Dakota","Faulk County",28.6
"25","South Dakota","Grant County",26.6
"26","South Dakota","Gregory County",21.3
"27","South Dakota","Haakon County",26
"28","South Dakota","Hamlin County",28
"29","South Dakota","Hand County",28.1
"30","South Dakota","Hanson County",25.8
"31","South Dakota","Harding County",31.4
"32","South Dakota","Hughes County",22.7
"33","South Dakota","Hutchinson County",23.3
"34","South Dakota","Hyde County",25.8
"35","South Dakota","Jackson County",22.2
"36","South Dakota","Jerauld County",27.4
"37","South Dakota","Jones County",19.4
"38","South Dakota","Kingsbury County",27.4
"39","South Dakota","Lake County",24.6
"40","South Dakota","Lawrence County",23.4
"41","South Dakota","Lincoln County",23
"42","South Dakota","Lyman County",26.3
"43","South Dakota","Marshall County",22.7
"44","South Dakota","McCook County",23.5
"45","South Dakota","McPherson County",22.8
"46","South Dakota","Meade County",21.4
"47","South Dakota","Mellette County",21.2
"48","South Dakota","Miner County",31.7
"49","South Dakota","Minnehaha County",23.2
"50","South Dakota","Moody County",27.9
"51","South Dakota","Pennington County",18.8
"52","South Dakota","Perkins County",22.8
"53","South Dakota","Potter County",21.2
"54","South Dakota","Roberts County",21.1
"55","South Dakota","Sanborn County",32.8
"56","South Dakota","Shannon County",22.8
"57","South Dakota","South Dakota",23.1
"58","South Dakota","Spink County",26
"59","South Dakota","Stanley County",30.6
"60","South Dakota","Sully County",27.8
"61","South Dakota","Todd County",23.4
"62","South Dakota","Tripp County",28.2
"63","South Dakota","Turner County",25.7
"64","South Dakota","Union County",26.9
"65","South Dakota","Walworth County",26.4
"66","South Dakota","Yankton County",25.3
"67","South Dakota","Ziebach County",21.9
