"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","TN","TN-500","Chattanooga/Southeast Tennessee CoC","Total Homeless","1,064"
"1/1/2007","TN","TN-501","Memphis/Shelby County CoC","Total Homeless","1,814"
"1/1/2007","TN","TN-502","Knoxville/Knox County CoC","Total Homeless","956"
"1/1/2007","TN","TN-503","Central Tennessee CoC","Total Homeless","360"
"1/1/2007","TN","TN-504","Nashville/Davidson County CoC","Total Homeless","2,156"
"1/1/2007","TN","TN-506","Oak Ridge/Upper Cumberland CoC","Total Homeless","704"
"1/1/2007","TN","TN-507","Jackson/West Tennessee CoC","Total Homeless","2,255"
"1/1/2007","TN","TN-509","Appalachian Regional CoC","Total Homeless","559"
"1/1/2007","TN","TN-510","Murfreesboro/Rutherford County CoC","Total Homeless","438"
"1/1/2007","TN","TN-512","Morristown/Blount, Sevier, Campbell, Cocke Counties CoC","Total Homeless","904"
"1/1/2008","TN","TN-500","Chattanooga/Southeast Tennessee CoC","Total Homeless","87"
"1/1/2008","TN","TN-501","Memphis/Shelby County CoC","Total Homeless","1,566"
"1/1/2008","TN","TN-502","Knoxville/Knox County CoC","Total Homeless","930"
"1/1/2008","TN","TN-503","Central Tennessee CoC","Total Homeless","328"
"1/1/2008","TN","TN-504","Nashville/Davidson County CoC","Total Homeless","2,217"
"1/1/2008","TN","TN-506","Oak Ridge/Upper Cumberland CoC","Total Homeless","704"
"1/1/2008","TN","TN-507","Jackson/West Tennessee CoC","Total Homeless","2,187"
"1/1/2008","TN","TN-509","Appalachian Regional CoC","Total Homeless","559"
"1/1/2008","TN","TN-510","Murfreesboro/Rutherford County CoC","Total Homeless","223"
"1/1/2008","TN","TN-512","Morristown/Blount, Sevier, Campbell, Cocke Counties CoC","Total Homeless","904"
"1/1/2009","TN","TN-500","Chattanooga/Southeast Tennessee CoC","Total Homeless","513"
"1/1/2009","TN","TN-501","Memphis/Shelby County CoC","Total Homeless","1,613"
"1/1/2009","TN","TN-502","Knoxville/Knox County CoC","Total Homeless","959"
"1/1/2009","TN","TN-503","Central Tennessee CoC","Total Homeless","226"
"1/1/2009","TN","TN-504","Nashville/Davidson County CoC","Total Homeless","2,236"
"1/1/2009","TN","TN-506","Oak Ridge/Upper Cumberland CoC","Total Homeless","1,229"
"1/1/2009","TN","TN-507","Jackson/West Tennessee CoC","Total Homeless","2,214"
"1/1/2009","TN","TN-509","Appalachian Regional CoC","Total Homeless","840"
"1/1/2009","TN","TN-510","Murfreesboro/Rutherford County CoC","Total Homeless","204"
"1/1/2009","TN","TN-512","Morristown/Blount, Sevier, Campbell, Cocke Counties CoC","Total Homeless","498"
"1/1/2010","TN","TN-500","Chattanooga/Southeast Tennessee CoC","Total Homeless","622"
"1/1/2010","TN","TN-501","Memphis/Shelby County CoC","Total Homeless","1,657"
"1/1/2010","TN","TN-502","Knoxville/Knox County CoC","Total Homeless","910"
"1/1/2010","TN","TN-503","Central Tennessee CoC","Total Homeless","177"
"1/1/2010","TN","TN-504","Nashville/Davidson County CoC","Total Homeless","2,324"
"1/1/2010","TN","TN-506","Oak Ridge/Upper Cumberland CoC","Total Homeless","635"
"1/1/2010","TN","TN-507","Jackson/West Tennessee CoC","Total Homeless","2,050"
"1/1/2010","TN","TN-509","Appalachian Regional CoC","Total Homeless","840"
