"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","TX","TX-500","San Antonio/Bexar County CoC","Total Homeless","2,247"
"1/1/2007","TX","TX-503","Austin/Travis County CoC","Total Homeless","5,281"
"1/1/2007","TX","TX-600","Dallas City & County/Irving CoC","Total Homeless","3,408"
"1/1/2007","TX","TX-601","Fort Worth/Arlington/Tarrant County CoC","Total Homeless","2,876"
"1/1/2007","TX","TX-603","El Paso City & County CoC","Total Homeless","1,241"
"1/1/2007","TX","TX-604","Waco/McLennan County CoC","Total Homeless","431"
"1/1/2007","TX","TX-607","Texas Balance of State (BoS) CoC","Total Homeless","12,958"
"1/1/2007","TX","TX-611","Amarillo CoC","Total Homeless","431"
"1/1/2007","TX","TX-624","Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC","Total Homeless","263"
"1/1/2007","TX","TX-700","Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","Total Homeless","10,363"
"1/1/2007","TX","TX-701","Bryan/College Station/Brazos Valley CoC","Total Homeless","289"
"1/1/2008","TX","TX-500","San Antonio/Bexar County CoC","Total Homeless","4,063"
"1/1/2008","TX","TX-503","Austin/Travis County CoC","Total Homeless","3,451"
"1/1/2008","TX","TX-600","Dallas City & County/Irving CoC","Total Homeless","3,558"
"1/1/2008","TX","TX-601","Fort Worth/Arlington/Tarrant County CoC","Total Homeless","2,676"
"1/1/2008","TX","TX-603","El Paso City & County CoC","Total Homeless","1,241"
"1/1/2008","TX","TX-604","Waco/McLennan County CoC","Total Homeless","431"
"1/1/2008","TX","TX-607","Texas Balance of State (BoS) CoC","Total Homeless","13,298"
"1/1/2008","TX","TX-611","Amarillo CoC","Total Homeless","540"
"1/1/2008","TX","TX-624","Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC","Total Homeless","280"
"1/1/2008","TX","TX-700","Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","Total Homeless","10,363"
"1/1/2008","TX","TX-701","Bryan/College Station/Brazos Valley CoC","Total Homeless","289"
"1/1/2009","TX","TX-500","San Antonio/Bexar County CoC","Total Homeless","2,690"
"1/1/2009","TX","TX-503","Austin/Travis County CoC","Total Homeless","2,641"
"1/1/2009","TX","TX-600","Dallas City & County/Irving CoC","Total Homeless","3,701"
"1/1/2009","TX","TX-601","Fort Worth/Arlington/Tarrant County CoC","Total Homeless","2,181"
"1/1/2009","TX","TX-603","El Paso City & County CoC","Total Homeless","1,260"
"1/1/2009","TX","TX-604","Waco/McLennan County CoC","Total Homeless","312"
"1/1/2009","TX","TX-607","Texas Balance of State (BoS) CoC","Total Homeless","15,327"
"1/1/2009","TX","TX-611","Amarillo CoC","Total Homeless","566"
"1/1/2009","TX","TX-624","Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC","Total Homeless","242"
"1/1/2009","TX","TX-700","Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","Total Homeless","7,576"
"1/1/2009","TX","TX-701","Bryan/College Station/Brazos Valley CoC","Total Homeless","265"
