"","state","location","both_sexes_2012"
"1","Tennessee","Anderson County",11.4
"2","Tennessee","Bedford County",11
"3","Tennessee","Benton County",10.1
"4","Tennessee","Bledsoe County",10
"5","Tennessee","Blount County",11.7
"6","Tennessee","Bradley County",10.2
"7","Tennessee","Campbell County",10.7
"8","Tennessee","Cannon County",9.9
"9","Tennessee","Carroll County",10.4
"10","Tennessee","Carter County",9.1
"11","Tennessee","Cheatham County",12.4
"12","Tennessee","Chester County",10.1
"13","Tennessee","Claiborne County",9.2
"14","Tennessee","Clay County",12.8
"15","Tennessee","Cocke County",9.5
"16","Tennessee","Coffee County",12.8
"17","Tennessee","Crockett County",9.9
"18","Tennessee","Cumberland County",12.3
"19","Tennessee","Davidson County",16.3
"20","Tennessee","Decatur County",10.3
"21","Tennessee","DeKalb County",10.5
"22","Tennessee","Dickson County",11.1
"23","Tennessee","Dyer County",11.8
"24","Tennessee","Fayette County",11.4
"25","Tennessee","Fentress County",10.1
"26","Tennessee","Franklin County",11.3
"27","Tennessee","Gibson County",10.6
"28","Tennessee","Giles County",11.4
"29","Tennessee","Grainger County",8.2
"30","Tennessee","Greene County",10
"31","Tennessee","Grundy County",10.1
"32","Tennessee","Hamblen County",9.8
"33","Tennessee","Hamilton County",13.7
"34","Tennessee","Hancock County",7.1
"35","Tennessee","Hardeman County",9.6
"36","Tennessee","Hardin County",11.6
"37","Tennessee","Hawkins County",8.9
"38","Tennessee","Haywood County",11.3
"39","Tennessee","Henderson County",10
"40","Tennessee","Henry County",12.7
"41","Tennessee","Hickman County",9.6
"42","Tennessee","Houston County",10.3
"43","Tennessee","Humphreys County",11.1
"44","Tennessee","Jackson County",10.7
"45","Tennessee","Jefferson County",10.2
"46","Tennessee","Johnson County",7.8
"47","Tennessee","Knox County",13.5
"48","Tennessee","Lake County",9.9
"49","Tennessee","Lauderdale County",11.1
"50","Tennessee","Lawrence County",9.7
"51","Tennessee","Lewis County",10.3
"52","Tennessee","Lincoln County",10
"53","Tennessee","Loudon County",10.5
"54","Tennessee","Macon County",10.8
"55","Tennessee","Madison County",12.6
"56","Tennessee","Marion County",11.3
"57","Tennessee","Marshall County",10.7
"58","Tennessee","Maury County",12.4
"59","Tennessee","McMinn County",9.1
"60","Tennessee","McNairy County",9.6
"61","Tennessee","Meigs County",9.3
"62","Tennessee","Monroe County",9.5
"63","Tennessee","Montgomery County",12.4
"64","Tennessee","Moore County",11.2
"65","Tennessee","Morgan County",9.1
"66","Tennessee","Obion County",10.4
"67","Tennessee","Overton County",10.5
"68","Tennessee","Perry County",10
"69","Tennessee","Pickett County",8.7
"70","Tennessee","Polk County",9.3
"71","Tennessee","Putnam County",11.8
"72","Tennessee","Rhea County",10.3
"73","Tennessee","Roane County",10.7
"74","Tennessee","Robertson County",11.9
"75","Tennessee","Rutherford County",12.8
"76","Tennessee","Scott County",10.3
"77","Tennessee","Sequatchie County",10.4
"78","Tennessee","Sevier County",10.4
"79","Tennessee","Shelby County",14.6
"80","Tennessee","Smith County",11.5
"81","Tennessee","Stewart County",10.1
"82","Tennessee","Sullivan County",10.7
"83","Tennessee","Sumner County",12.7
"84","Tennessee","Tennessee",12.6
"85","Tennessee","Tipton County",12.4
"86","Tennessee","Trousdale County",11.9
"87","Tennessee","Unicoi County",9.4
"88","Tennessee","Union County",9.1
"89","Tennessee","Van Buren County",10.9
"90","Tennessee","Warren County",9.4
"91","Tennessee","Washington County",11.6
"92","Tennessee","Wayne County",10.3
"93","Tennessee","Weakley County",10.6
"94","Tennessee","White County",10.2
"95","Tennessee","Williamson County",14.2
"96","Tennessee","Wilson County",12.7
