"","state","location","both_sexes_2012"
"1","Texas","Anderson County",15.1
"2","Texas","Andrews County",14.7
"3","Texas","Angelina County",14.3
"4","Texas","Aransas County",20.4
"5","Texas","Archer County",13.9
"6","Texas","Armstrong County",12.1
"7","Texas","Atascosa County",19.2
"8","Texas","Austin County",19.4
"9","Texas","Bailey County",14.2
"10","Texas","Bandera County",20.3
"11","Texas","Bastrop County",17.5
"12","Texas","Baylor County",13.1
"13","Texas","Bee County",23.3
"14","Texas","Bell County",16.7
"15","Texas","Bexar County",20.1
"16","Texas","Blanco County",19.2
"17","Texas","Borden County",11.3
"18","Texas","Bosque County",17.3
"19","Texas","Bowie County",13.4
"20","Texas","Brazoria County",16.3
"21","Texas","Brazos County",17.3
"22","Texas","Brewster County",22.7
"23","Texas","Briscoe County",12.6
"24","Texas","Brooks County",22.3
"25","Texas","Brown County",14.1
"26","Texas","Burleson County",16.5
"27","Texas","Burnet County",16.6
"28","Texas","Caldwell County",17.7
"29","Texas","Calhoun County",18.3
"30","Texas","Callahan County",13.5
"31","Texas","Cameron County",19
"32","Texas","Camp County",18
"33","Texas","Carson County",14.3
"34","Texas","Cass County",14
"35","Texas","Castro County",18.4
"36","Texas","Chambers County",17.2
"37","Texas","Cherokee County",14.5
"38","Texas","Childress County",15.2
"39","Texas","Clay County",12.8
"40","Texas","Cochran County",14.1
"41","Texas","Coke County",13.8
"42","Texas","Coleman County",17
"43","Texas","Collin County",16.5
"44","Texas","Collingsworth County",10.8
"45","Texas","Colorado County",19.4
"46","Texas","Comal County",20
"47","Texas","Comanche County",13.2
"48","Texas","Concho County",16.1
"49","Texas","Cooke County",17.2
"50","Texas","Coryell County",15.5
"51","Texas","Cottle County",11.7
"52","Texas","Crane County",15.6
"53","Texas","Crockett County",23
"54","Texas","Crosby County",14.8
"55","Texas","Culberson County",17.7
"56","Texas","Dallam County",15.3
"57","Texas","Dallas County",16.8
"58","Texas","Dawson County",14.1
"59","Texas","Deaf Smith County",17.8
"60","Texas","Delta County",12.7
"61","Texas","Denton County",16.1
"62","Texas","DeWitt County",19.3
"63","Texas","Dickens County",14.6
"64","Texas","Dimmit County",25.9
"65","Texas","Donley County",12.9
"66","Texas","Duval County",20.5
"67","Texas","Eastland County",13.6
"68","Texas","Ector County",18
"69","Texas","Edwards County",16.4
"70","Texas","El Paso County",22.8
"71","Texas","Ellis County",15.2
"72","Texas","Erath County",14.8
"73","Texas","Falls County",15.3
"74","Texas","Fannin County",13.5
