"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","UT","UT-500","Salt Lake City & County CoC","Total Homeless","2,079"
"1/1/2007","UT","UT-503","Utah Balance of State CoC","Total Homeless","716"
"1/1/2007","UT","UT-504","Provo/Mountainland CoC","Total Homeless","216"
"1/1/2008","UT","UT-500","Salt Lake City & County CoC","Total Homeless","2,296"
"1/1/2008","UT","UT-503","Utah Balance of State CoC","Total Homeless","878"
"1/1/2008","UT","UT-504","Provo/Mountainland CoC","Total Homeless","260"
"1/1/2009","UT","UT-500","Salt Lake City & County CoC","Total Homeless","1,811"
"1/1/2009","UT","UT-503","Utah Balance of State CoC","Total Homeless","1,685"
"1/1/2009","UT","UT-504","Provo/Mountainland CoC","Total Homeless","299"
"1/1/2010","UT","UT-500","Salt Lake City & County CoC","Total Homeless","1,968"
"1/1/2010","UT","UT-503","Utah Balance of State CoC","Total Homeless","952"
"1/1/2010","UT","UT-504","Provo/Mountainland CoC","Total Homeless","364"
"1/1/2011","UT","UT-500","Salt Lake City & County CoC","Total Homeless","2,033"
"1/1/2011","UT","UT-503","Utah Balance of State CoC","Total Homeless","898"
"1/1/2011","UT","UT-504","Provo/Mountainland CoC","Total Homeless","199"
"1/1/2012","UT","UT-500","Salt Lake City & County CoC","Total Homeless","2,463"
"1/1/2012","UT","UT-503","Utah Balance of State CoC","Total Homeless","879"
"1/1/2012","UT","UT-504","Provo/Mountainland CoC","Total Homeless","185"
"1/1/2013","UT","UT-500","Salt Lake City & County CoC","Total Homeless","2,133"
"1/1/2013","UT","UT-503","Utah Balance of State CoC","Total Homeless","891"
"1/1/2013","UT","UT-504","Provo/Mountainland CoC","Total Homeless","253"
"1/1/2014","UT","UT-500","Salt Lake City & County CoC","Total Homeless","2,150"
"1/1/2014","UT","UT-503","Utah Balance of State CoC","Total Homeless","782"
"1/1/2014","UT","UT-504","Provo/Mountainland CoC","Total Homeless","149"
"1/1/2015","UT","UT-500","Salt Lake City & County CoC","Total Homeless","2,176"
"1/1/2015","UT","UT-503","Utah Balance of State CoC","Total Homeless","646"
"1/1/2015","UT","UT-504","Provo/Mountainland CoC","Total Homeless","203"
"1/1/2016","UT","UT-500","Salt Lake City & County CoC","Total Homeless","1,891"
"1/1/2016","UT","UT-503","Utah Balance of State CoC","Total Homeless","738"
"1/1/2016","UT","UT-504","Provo/Mountainland CoC","Total Homeless","178"
