"","state","location","both_sexes_2012"
"1","Utah","Beaver County",11
"2","Utah","Box Elder County",8.7
"3","Utah","Cache County",7.6
"4","Utah","Carbon County",13.6
"5","Utah","Daggett County",15.2
"6","Utah","Davis County",8.6
"7","Utah","Duchesne County",11.3
"8","Utah","Emery County",9
"9","Utah","Garfield County",9.1
"10","Utah","Grand County",15.9
"11","Utah","Iron County",9.2
"12","Utah","Juab County",8.7
"13","Utah","Kane County",10.9
"14","Utah","Millard County",9.1
"15","Utah","Morgan County",8.8
"16","Utah","Piute County",10.1
"17","Utah","Rich County",8
"18","Utah","Salt Lake County",14.2
"19","Utah","San Juan County",12.7
"20","Utah","Sanpete County",9.6
"21","Utah","Sevier County",8.4
"22","Utah","Summit County",18
"23","Utah","Tooele County",11.8
"24","Utah","Uintah County",12
"25","Utah","Utah",11.1
"26","Utah","Utah County",6.5
"27","Utah","Wasatch County",10.8
"28","Utah","Washington County",8.8
"29","Utah","Wayne County",9.9
"30","Utah","Weber County",12.6
