"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","VI","VI-500","Virgin Islands CoC","Total Homeless","559"
"1/1/2008","VI","VI-500","Virgin Islands CoC","Total Homeless","602"
"1/1/2009","VI","VI-500","Virgin Islands CoC","Total Homeless","471"
"1/1/2010","VI","VI-500","Virgin Islands CoC","Total Homeless","487"
"1/1/2011","VI","VI-500","Virgin Islands CoC","Total Homeless","532"
"1/1/2012","VI","VI-500","Virgin Islands CoC","Total Homeless","484"
"1/1/2013","VI","VI-500","Virgin Islands CoC","Total Homeless","482"
"1/1/2014","VI","VI-500","Virgin Islands CoC","Total Homeless","448"
"1/1/2015","VI","VI-500","Virgin Islands CoC","Total Homeless","337"
"1/1/2016","VI","VI-500","Virgin Islands CoC","Total Homeless","341"
