"","state","location","both_sexes_2012"
"1","Virginia","Accomack County",14.8
"2","Virginia","Albemarle County",16.4
"3","Virginia","Alexandria City",18.6
"4","Virginia","Alleghany County",14.1
"5","Virginia","Amelia County",13.5
"6","Virginia","Amherst County",13.9
"7","Virginia","Appomattox County",13.7
"8","Virginia","Arlington County",20.1
"9","Virginia","Augusta County, Waynesboro City",14.8
"10","Virginia","Bath County",18.2
"11","Virginia","Bedford County, Bedford City",14
"12","Virginia","Bland County",12.2
"13","Virginia","Botetourt County",13.5
"14","Virginia","Bristol City",12.6
"15","Virginia","Brunswick County",11.7
"16","Virginia","Buchanan County",10.1
"17","Virginia","Buckingham County",12.4
"18","Virginia","Buena Vista City",11.8
"19","Virginia","Campbell County",14.3
"20","Virginia","Caroline County",14
"21","Virginia","Carroll County",12.3
"22","Virginia","Charles City County",11.7
"23","Virginia","Charlotte County",12.6
"24","Virginia","Charlottesville City",19.7
"25","Virginia","Chesapeake City",16
"26","Virginia","Chesterfield County",16.5
"27","Virginia","Clarke County",15.7
"28","Virginia","Colonial Heights City",12.9
"29","Virginia","Covington City",15.6
"30","Virginia","Craig County",11.3
"31","Virginia","Culpeper County",14.6
"32","Virginia","Cumberland County",12
"33","Virginia","Danville City",12.4
"34","Virginia","Dickenson County",11.1
"35","Virginia","Dinwiddie County",14.6
"36","Virginia","Emporia City",14.5
"37","Virginia","Essex County",13.2
"38","Virginia","Fairfax County, Fairfax City",17.1
"39","Virginia","Falls Church City",25.6
"40","Virginia","Fauquier County",15.8
"41","Virginia","Floyd County",12.6
"42","Virginia","Fluvanna County",15.6
"43","Virginia","Franklin County",12.6
"44","Virginia","Frederick County",14.9
"45","Virginia","Fredericksburg City",16.7
"46","Virginia","Galax City",15.2
"47","Virginia","Giles County",12.9
"48","Virginia","Gloucester County",15.8
"49","Virginia","Goochland County",15.8
"50","Virginia","Grayson County",11.3
"51","Virginia","Greene County",15.6
"52","Virginia","Greensville County",11.2
"53","Virginia","Halifax County",11
"54","Virginia","Hampton City",14.9
"55","Virginia","Hanover County",15.7
"56","Virginia","Harrisonburg City",14.1
"57","Virginia","Henrico County",16.8
"58","Virginia","Henry County",11.3
"59","Virginia","Highland County",22.1
"60","Virginia","Hopewell City",15.2
"61","Virginia","Isle of Wight County",15.1
"62","Virginia","James City County",17.4
"63","Virginia","King and Queen County",11.7
"64","Virginia","King George County",14.1
"65","Virginia","King William County",15
"66","Virginia","Lancaster County",14.5
"67","Virginia","Lee County",9.1
"68","Virginia","Lexington City",17.9
"69","Virginia","Loudoun County",16.5
"70","Virginia","Louisa County",14
"71","Virginia","Lunenburg County",12.9
"72","Virginia","Lynchburg City",12.9
"73","Virginia","Madison County",14.9
"74","Virginia","Manassas City",17.6
"75","Virginia","Martinsville City",12
"76","Virginia","Mathews County",16.5
"77","Virginia","Mecklenburg County",13.1
"78","Virginia","Middlesex County",16.7
"79","Virginia","Montgomery County",14.6
"80","Virginia","Nelson County",14.5
"81","Virginia","New Kent County",14.9
"82","Virginia","Newport News City",15.1
"83","Virginia","Norfolk City",16.2
"84","Virginia","Northampton County",15.1
"85","Virginia","Northumberland County",14.5
"86","Virginia","Norton City",14
"87","Virginia","Nottoway County",14.4
"88","Virginia","Orange County",15.1
"89","Virginia","Page County",14.6
"90","Virginia","Patrick County",12.2
"91","Virginia","Petersburg City",12.4
"92","Virginia","Pittsylvania County",12.7
"93","Virginia","Poquoson City",19.2
"94","Virginia","Portsmouth City",14.8
"95","Virginia","Powhatan County",14.9
"96","Virginia","Prince Edward County",14.5
"97","Virginia","Prince George County",13.1
"98","Virginia","Prince William County, Manassas Park City",14.2
"99","Virginia","Pulaski County",13.1
"100","Virginia","Radford City",14.9
"101","Virginia","Rappahannock County",14.1
"102","Virginia","Richmond City",17.9
"103","Virginia","Richmond County",12.2
"104","Virginia","Roanoke City",13.5
"105","Virginia","Roanoke County",14.5
"106","Virginia","Rockbridge County",14.3
"107","Virginia","Rockingham County",14.4
"108","Virginia","Russell County",10.2
"109","Virginia","Salem City",13.8
"110","Virginia","Scott County",11.1
"111","Virginia","Shenandoah County",16
"112","Virginia","Smyth County",12
"113","Virginia","Southampton County, Franklin City",14
"114","Virginia","Spotsylvania County",14.5
"115","Virginia","Stafford County",15.2
"116","Virginia","Staunton City",17.5
"117","Virginia","Suffolk City",14.6
"118","Virginia","Surry County",12.2
"119","Virginia","Sussex County",12.9
"120","Virginia","Tazewell County",11.6
"121","Virginia","Virginia",15.8
"122","Virginia","Virginia Beach City",18.9
"123","Virginia","Warren County",15.6
"124","Virginia","Washington County",12.3
"125","Virginia","Westmoreland County",15
"126","Virginia","Williamsburg City",18.4
"127","Virginia","Winchester City",17.7
"128","Virginia","Wise County",11.2
"129","Virginia","Wythe County",12.6
"130","Virginia","York County",17.7
