"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","VT","VT-500","Vermont Balance of State CoC","Total Homeless","796"
"1/1/2007","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","239"
"1/1/2008","VT","VT-500","Vermont Balance of State CoC","Total Homeless","633"
"1/1/2008","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","321"
"1/1/2009","VT","VT-500","Vermont Balance of State CoC","Total Homeless","649"
"1/1/2009","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","565"
"1/1/2010","VT","VT-500","Vermont Balance of State CoC","Total Homeless","607"
"1/1/2010","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","613"
"1/1/2011","VT","VT-500","Vermont Balance of State CoC","Total Homeless","655"
"1/1/2011","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","489"
"1/1/2012","VT","VT-500","Vermont Balance of State CoC","Total Homeless","776"
"1/1/2012","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","384"
"1/1/2013","VT","VT-500","Vermont Balance of State CoC","Total Homeless","971"
"1/1/2013","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","483"
"1/1/2014","VT","VT-500","Vermont Balance of State CoC","Total Homeless","1,027"
"1/1/2014","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","532"
"1/1/2015","VT","VT-500","Vermont Balance of State CoC","Total Homeless","1,052"
"1/1/2015","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","471"
"1/1/2016","VT","VT-500","Vermont Balance of State CoC","Total Homeless","785"
"1/1/2016","VT","VT-501","Burlington/Chittenden County CoC","Total Homeless","332"
