"","state","location","both_sexes_2012"
"1","Vermont","Addison County",20.7
"2","Vermont","Bennington County",20.6
"3","Vermont","Caledonia County",19.8
"4","Vermont","Chittenden County",21.5
"5","Vermont","Essex County",21.2
"6","Vermont","Franklin County",21.4
"7","Vermont","Grand Isle County",21.2
"8","Vermont","Lamoille County",23.4
"9","Vermont","Orange County",19.4
"10","Vermont","Orleans County",21.4
"11","Vermont","Rutland County",21.9
"12","Vermont","Vermont",21.5
"13","Vermont","Washington County",21.4
"14","Vermont","Windham County",22
"15","Vermont","Windsor County",22
