"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","WA","WA-500","Seattle/King County CoC","Total Homeless","7,902"
"1/1/2007","WA","WA-501","Washington Balance of State CoC","Total Homeless","6,995"
"1/1/2007","WA","WA-502","Spokane City & County CoC","Total Homeless","1,357"
"1/1/2007","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","1,596"
"1/1/2007","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","3,453"
"1/1/2007","WA","WA-507","Yakima City & County CoC","Total Homeless","684"
"1/1/2007","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","1,392"
"1/1/2008","WA","WA-500","Seattle/King County CoC","Total Homeless","8,501"
"1/1/2008","WA","WA-501","Washington Balance of State CoC","Total Homeless","6,631"
"1/1/2008","WA","WA-502","Spokane City & County CoC","Total Homeless","1,370"
"1/1/2008","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","1,743"
"1/1/2008","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","2,161"
"1/1/2008","WA","WA-507","Yakima City & County CoC","Total Homeless","486"
"1/1/2008","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","1,062"
"1/1/2009","WA","WA-500","Seattle/King County CoC","Total Homeless","8,952"
"1/1/2009","WA","WA-501","Washington Balance of State CoC","Total Homeless","6,557"
"1/1/2009","WA","WA-502","Spokane City & County CoC","Total Homeless","1,229"
"1/1/2009","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","2,083"
"1/1/2009","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","2,356"
"1/1/2009","WA","WA-507","Yakima City & County CoC","Total Homeless","446"
"1/1/2009","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","1,159"
"1/1/2010","WA","WA-500","Seattle/King County CoC","Total Homeless","9,022"
"1/1/2010","WA","WA-501","Washington Balance of State CoC","Total Homeless","7,178"
"1/1/2010","WA","WA-502","Spokane City & County CoC","Total Homeless","1,242"
"1/1/2010","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","1,807"
"1/1/2010","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","2,018"
"1/1/2010","WA","WA-507","Yakima City & County CoC","Total Homeless","507"
"1/1/2010","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","1,104"
"1/1/2011","WA","WA-500","Seattle/King County CoC","Total Homeless","8,972"
"1/1/2011","WA","WA-501","Washington Balance of State CoC","Total Homeless","4,956"
"1/1/2011","WA","WA-502","Spokane City & County CoC","Total Homeless","1,272"
"1/1/2011","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","2,089"
"1/1/2011","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","1,860"
"1/1/2011","WA","WA-507","Yakima City & County CoC","Total Homeless","443"
"1/1/2011","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","847"
"1/1/2012","WA","WA-500","Seattle/King County CoC","Total Homeless","8,899"
"1/1/2012","WA","WA-501","Washington Balance of State CoC","Total Homeless","4,819"
"1/1/2012","WA","WA-502","Spokane City & County CoC","Total Homeless","1,185"
"1/1/2012","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","1,997"
"1/1/2012","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","2,061"
"1/1/2012","WA","WA-507","Yakima City & County CoC","Total Homeless","523"
"1/1/2012","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","1,020"
"1/1/2013","WA","WA-500","Seattle/King County CoC","Total Homeless","9,106"
"1/1/2013","WA","WA-501","Washington Balance of State CoC","Total Homeless","4,108"
"1/1/2013","WA","WA-502","Spokane City & County CoC","Total Homeless","1,030"
"1/1/2013","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","1,303"
"1/1/2013","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","947"
"1/1/2013","WA","WA-507","Yakima City & County CoC","Total Homeless","563"
"1/1/2013","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","703"
"1/1/2014","WA","WA-500","Seattle/King County CoC","Total Homeless","8,949"
"1/1/2014","WA","WA-501","Washington Balance of State CoC","Total Homeless","4,703"
"1/1/2014","WA","WA-502","Spokane City & County CoC","Total Homeless","1,149"
"1/1/2014","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","1,464"
"1/1/2014","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","949"
"1/1/2014","WA","WA-507","Yakima City & County CoC","Total Homeless","533"
"1/1/2014","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","695"
"1/1/2015","WA","WA-500","Seattle/King County CoC","Total Homeless","10,122"
"1/1/2015","WA","WA-501","Washington Balance of State CoC","Total Homeless","4,951"
"1/1/2015","WA","WA-502","Spokane City & County CoC","Total Homeless","1,034"
"1/1/2015","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","1,283"
"1/1/2015","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","829"
"1/1/2015","WA","WA-507","Yakima City & County CoC","Total Homeless","538"
"1/1/2015","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","662"
"1/1/2016","WA","WA-500","Seattle/King County CoC","Total Homeless","10,730"
"1/1/2016","WA","WA-501","Washington Balance of State CoC","Total Homeless","5,294"
"1/1/2016","WA","WA-502","Spokane City & County CoC","Total Homeless","981"
"1/1/2016","WA","WA-503","Tacoma/Lakewood/Pierce County CoC","Total Homeless","1,762"
"1/1/2016","WA","WA-504","Everett/Snohomish County CoC","Total Homeless","960"
"1/1/2016","WA","WA-507","Yakima City & County CoC","Total Homeless","412"
"1/1/2016","WA","WA-508","Vancouver/Clark County CoC","Total Homeless","688"
