"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,105"
"1/1/2007","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,470"
"1/1/2007","WI","WI-502","Racine City & County CoC","Total Homeless","256"
"1/1/2007","WI","WI-503","Madison/Dane County CoC","Total Homeless","817"
"1/1/2008","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,105"
"1/1/2008","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,470"
"1/1/2008","WI","WI-502","Racine City & County CoC","Total Homeless","259"
"1/1/2008","WI","WI-503","Madison/Dane County CoC","Total Homeless","615"
"1/1/2009","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,992"
"1/1/2009","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,537"
"1/1/2009","WI","WI-502","Racine City & County CoC","Total Homeless","354"
"1/1/2009","WI","WI-503","Madison/Dane County CoC","Total Homeless","642"
"1/1/2010","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,992"
"1/1/2010","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,537"
"1/1/2010","WI","WI-502","Racine City & County CoC","Total Homeless","236"
"1/1/2010","WI","WI-503","Madison/Dane County CoC","Total Homeless","568"
"1/1/2011","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,400"
"1/1/2011","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,466"
"1/1/2011","WI","WI-502","Racine City & County CoC","Total Homeless","243"
"1/1/2011","WI","WI-503","Madison/Dane County CoC","Total Homeless","676"
"1/1/2012","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,618"
"1/1/2012","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,432"
"1/1/2012","WI","WI-502","Racine City & County CoC","Total Homeless","241"
"1/1/2012","WI","WI-503","Madison/Dane County CoC","Total Homeless","736"
"1/1/2013","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,610"
"1/1/2013","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,442"
"1/1/2013","WI","WI-502","Racine City & County CoC","Total Homeless","221"
"1/1/2013","WI","WI-503","Madison/Dane County CoC","Total Homeless","831"
"1/1/2014","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,569"
"1/1/2014","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,499"
"1/1/2014","WI","WI-502","Racine City & County CoC","Total Homeless","210"
"1/1/2014","WI","WI-503","Madison/Dane County CoC","Total Homeless","777"
"1/1/2015","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,597"
"1/1/2015","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,521"
"1/1/2015","WI","WI-502","Racine City & County CoC","Total Homeless","168"
"1/1/2015","WI","WI-503","Madison/Dane County CoC","Total Homeless","771"
"1/1/2016","WI","WI-500","Wisconsin Balance of State CoC","Total Homeless","3,445"
"1/1/2016","WI","WI-501","Milwaukee City & County CoC","Total Homeless","1,415"
"1/1/2016","WI","WI-502","Racine City & County CoC","Total Homeless","196"
"1/1/2016","WI","WI-503","Madison/Dane County CoC","Total Homeless","629"
