"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","118"
"1/1/2007","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","331"
"1/1/2007","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","325"
"1/1/2007","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","1,635"
"1/1/2008","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","92"
"1/1/2008","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","264"
"1/1/2008","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","363"
"1/1/2008","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","1,297"
"1/1/2009","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","87"
"1/1/2009","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","195"
"1/1/2009","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","382"
"1/1/2009","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","1,003"
"1/1/2010","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","197"
"1/1/2010","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","286"
"1/1/2010","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","406"
"1/1/2010","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","1,375"
"1/1/2011","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","124"
"1/1/2011","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","238"
"1/1/2011","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","394"
"1/1/2011","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","1,455"
"1/1/2012","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","116"
"1/1/2012","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","274"
"1/1/2012","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","416"
"1/1/2012","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","1,604"
"1/1/2013","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","89"
"1/1/2013","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","227"
"1/1/2013","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","411"
"1/1/2013","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","1,513"
"1/1/2014","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","97"
"1/1/2014","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","218"
"1/1/2014","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","360"
"1/1/2014","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","1,338"
"1/1/2015","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","114"
"1/1/2015","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","227"
"1/1/2015","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","385"
"1/1/2015","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","1,109"
"1/1/2016","WV","WV-500","Wheeling/Weirton Area CoC","Total Homeless","91"
"1/1/2016","WV","WV-501","Huntington/Cabell, Wayne Counties CoC","Total Homeless","228"
"1/1/2016","WV","WV-503","Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Total Homeless","320"
"1/1/2016","WV","WV-508","West Virginia Balance of State CoC","Total Homeless","748"
