"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","WY","WY-500","Wyoming Statewide CoC","Total Homeless","537"
"1/1/2008","WY","WY-500","Wyoming Statewide CoC","Total Homeless","751"
"1/1/2009","WY","WY-500","Wyoming Statewide CoC","Total Homeless","515"
"1/1/2010","WY","WY-500","Wyoming Statewide CoC","Total Homeless","579"
"1/1/2011","WY","WY-500","Wyoming Statewide CoC","Total Homeless","1,038"
"1/1/2012","WY","WY-500","Wyoming Statewide CoC","Total Homeless","1,813"
"1/1/2013","WY","WY-500","Wyoming Statewide CoC","Total Homeless","953"
"1/1/2014","WY","WY-500","Wyoming Statewide CoC","Total Homeless","757"
"1/1/2015","WY","WY-500","Wyoming Statewide CoC","Total Homeless","798"
"1/1/2016","WY","WY-500","Wyoming Statewide CoC","Total Homeless","857"
