"","state","location","both_sexes_2012"
"1","Wyoming","Albany County",19.9
"2","Wyoming","Big Horn County",16
"3","Wyoming","Campbell County",19.7
"4","Wyoming","Carbon County",23.4
"5","Wyoming","Converse County",21.9
"6","Wyoming","Crook County",27.2
"7","Wyoming","Fremont County",19.8
"8","Wyoming","Goshen County",19.6
"9","Wyoming","Hot Springs County",20.7
"10","Wyoming","Johnson County",22.7
"11","Wyoming","Laramie County",17.4
"12","Wyoming","Lincoln County",14.9
"13","Wyoming","Natrona County",19.5
"14","Wyoming","Niobrara County",16.4
"15","Wyoming","Park County",18.3
"16","Wyoming","Platte County",20.3
"17","Wyoming","Sheridan County",19
"18","Wyoming","Sublette County",21.8
"19","Wyoming","Sweetwater County",19.4
"20","Wyoming","Teton County",23.3
"21","Wyoming","Uinta County",14.4
"22","Wyoming","Washakie County",18.5
"23","Wyoming","Weston County",21.5
"24","Wyoming","Wyoming",19.3
