"","state","location","both_sexes_2012"
"1","Washington","Adams County",15
"2","Washington","Asotin County",17.7
"3","Washington","Benton County",17.2
"4","Washington","Chelan County",16.3
"5","Washington","Clallam County",17.6
"6","Washington","Clark County",17.5
"7","Washington","Columbia County",16.5
"8","Washington","Cowlitz County",16.9
"9","Washington","Douglas County",17.3
"10","Washington","Ferry County",19.1
"11","Washington","Franklin County",14.7
"12","Washington","Garfield County",19.4
"13","Washington","Grant County",15.8
"14","Washington","Grays Harbor County",17.8
"15","Washington","Island County",18.7
"16","Washington","Jefferson County",18.9
"17","Washington","King County",19.2
"18","Washington","Kitsap County",17.4
"19","Washington","Kittitas County",19.6
"20","Washington","Klickitat County",18.1
"21","Washington","Lewis County",16.5
"22","Washington","Lincoln County",20.6
"23","Washington","Mason County",18.8
"24","Washington","Okanogan County",16.7
"25","Washington","Pacific County",19.9
"26","Washington","Pend Oreille County",20.1
"27","Washington","Pierce County",16.5
"28","Washington","San Juan County",21.4
"29","Washington","Skagit County",17.5
"30","Washington","Skamania County",19.4
"31","Washington","Snohomish County",18.7
"32","Washington","Spokane County",18.8
"33","Washington","Stevens County",19.2
"34","Washington","Thurston County",17.5
"35","Washington","Wahkiakum County",19.5
"36","Washington","Walla Walla County",16.8
"37","Washington","Washington",18.1
"38","Washington","Whatcom County",18.5
"39","Washington","Whitman County",18.2
"40","Washington","Yakima County",16
