"","state","location","both_sexes_2012"
"1","West Virginia","Barbour County",11.1
"2","West Virginia","Berkeley County",13.4
"3","West Virginia","Boone County",9.8
"4","West Virginia","Braxton County",11.1
"5","West Virginia","Brooke County",13.6
"6","West Virginia","Cabell County",12.5
"7","West Virginia","Calhoun County",10.4
"8","West Virginia","Clay County",10
"9","West Virginia","Doddridge County",11.1
"10","West Virginia","Fayette County",11.2
"11","West Virginia","Gilmer County",12.1
"12","West Virginia","Grant County",13
"13","West Virginia","Greenbrier County",12.9
"14","West Virginia","Hampshire County",12.3
"15","West Virginia","Hancock County",12.8
"16","West Virginia","Hardy County",13.1
"17","West Virginia","Harrison County",13.3
"18","West Virginia","Jackson County",10.4
"19","West Virginia","Jefferson County",15.6
"20","West Virginia","Kanawha County",11.4
"21","West Virginia","Lewis County",12.7
"22","West Virginia","Lincoln County",9.7
"23","West Virginia","Logan County",10
"24","West Virginia","Marion County",13.1
"25","West Virginia","Marshall County",14.8
"26","West Virginia","Mason County",11
"27","West Virginia","McDowell County",9
"28","West Virginia","Mercer County",10.3
"29","West Virginia","Mineral County",13.7
"30","West Virginia","Mingo County",10.5
"31","West Virginia","Monongalia County",15.1
"32","West Virginia","Monroe County",12.6
"33","West Virginia","Morgan County",13.2
"34","West Virginia","Nicholas County",11
"35","West Virginia","Ohio County",16
"36","West Virginia","Pendleton County",12.1
"37","West Virginia","Pleasants County",12
"38","West Virginia","Pocahontas County",11.7
"39","West Virginia","Preston County",13
"40","West Virginia","Putnam County",12.1
"41","West Virginia","Raleigh County",10
"42","West Virginia","Randolph County",12.4
"43","West Virginia","Ritchie County",10.9
"44","West Virginia","Roane County",10.9
"45","West Virginia","Summers County",10.4
"46","West Virginia","Taylor County",13.3
"47","West Virginia","Tucker County",12.5
"48","West Virginia","Tyler County",10.8
"49","West Virginia","Upshur County",12.7
"50","West Virginia","Wayne County",11.1
"51","West Virginia","Webster County",9.8
"52","West Virginia","West Virginia",12.3
"53","West Virginia","Wetzel County",12.2
"54","West Virginia","Wirt County",10.5
"55","West Virginia","Wood County",11.5
"56","West Virginia","Wyoming County",10.2
