"","state","location","both_sexes_2012"
"1","Wisconsin","Adams County",26.4
"2","Wisconsin","Ashland County",32.3
"3","Wisconsin","Barron County",27.3
"4","Wisconsin","Bayfield County",32.8
"5","Wisconsin","Brown County",28
"6","Wisconsin","Buffalo County",30.5
"7","Wisconsin","Burnett County",29.6
"8","Wisconsin","Calumet County",26.6
"9","Wisconsin","Chippewa County",29.9
"10","Wisconsin","Clark County",25.8
"11","Wisconsin","Columbia County",25.9
"12","Wisconsin","Crawford County",30
"13","Wisconsin","Dane County",25
"14","Wisconsin","Dodge County",25.1
"15","Wisconsin","Door County",28.3
"16","Wisconsin","Douglas County",31.9
"17","Wisconsin","Dunn County",27
"18","Wisconsin","Eau Claire County",25.6
"19","Wisconsin","Florence County",27.4
"20","Wisconsin","Fond du Lac County",25.6
"21","Wisconsin","Forest County",30.6
"22","Wisconsin","Grant County",29.9
"23","Wisconsin","Green County",25.7
"24","Wisconsin","Green Lake County",26.2
"25","Wisconsin","Iowa County",26.3
"26","Wisconsin","Iron County",32.4
"27","Wisconsin","Jackson County",25.5
"28","Wisconsin","Jefferson County",23.9
"29","Wisconsin","Juneau County",27.7
"30","Wisconsin","Kenosha County",24.3
"31","Wisconsin","Kewaunee County",29.9
"32","Wisconsin","La Crosse County",29.1
"33","Wisconsin","Lafayette County",29.2
"34","Wisconsin","Langlade County",29.6
"35","Wisconsin","Lincoln County",27.4
"36","Wisconsin","Manitowoc County",29.3
"37","Wisconsin","Marathon County",28
"38","Wisconsin","Marinette County",30.6
"39","Wisconsin","Marquette County",24
"40","Wisconsin","Menominee County",36
"41","Wisconsin","Milwaukee County",23.2
"42","Wisconsin","Monroe County",26.8
"43","Wisconsin","Oconto County",27.3
"44","Wisconsin","Oneida County",31.6
"45","Wisconsin","Outagamie County",27.7
"46","Wisconsin","Ozaukee County",26.8
"47","Wisconsin","Pepin County",32.9
"48","Wisconsin","Pierce County",29.2
"49","Wisconsin","Polk County",27.3
"50","Wisconsin","Portage County",31.2
"51","Wisconsin","Price County",28.3
"52","Wisconsin","Racine County",24.3
"53","Wisconsin","Richland County",25.1
"54","Wisconsin","Rock County",23.5
"55","Wisconsin","Rusk County",24.7
"56","Wisconsin","Sauk County",25.4
"57","Wisconsin","Sawyer County",31.4
"58","Wisconsin","Shawano County",26.3
"59","Wisconsin","Sheboygan County",25.4
"60","Wisconsin","St. Croix County",27.1
"61","Wisconsin","Taylor County",28.9
"62","Wisconsin","Trempealeau County",32.2
"63","Wisconsin","Vernon County",23.3
"64","Wisconsin","Vilas County",31.8
"65","Wisconsin","Walworth County",24.8
"66","Wisconsin","Washburn County",31
"67","Wisconsin","Washington County",26
"68","Wisconsin","Waukesha County",26.8
"69","Wisconsin","Waupaca County",24.6
"70","Wisconsin","Waushara County",27.2
"71","Wisconsin","Winnebago County",25.6
"72","Wisconsin","Wisconsin",26.1
"73","Wisconsin","Wood County",29.3
