"","Year","State","CoC.Number","CoC.Name","Measures","Count"
"1",2016-01-01,"Alaska","AK-500","Anchorage CoC","Children of Parenting Youth",6
"2",2016-01-01,"Alaska","AK-500","Anchorage CoC","Chronically Homeless",50
"3",2016-01-01,"Alaska","AK-500","Anchorage CoC","Chronically Homeless Individuals",48
"4",2016-01-01,"Alaska","AK-500","Anchorage CoC","Chronically Homeless People in Families",2
"5",2016-01-01,"Alaska","AK-500","Anchorage CoC","Homeless Individuals",905
"6",2016-01-01,"Alaska","AK-500","Anchorage CoC","Homeless People in Families",200
"7",2016-01-01,"Alaska","AK-500","Anchorage CoC","Homeless Unaccompanied Children (Under 18)",3
"8",2016-01-01,"Alaska","AK-500","Anchorage CoC","Homeless Unaccompanied Young Adults (Age 18-24)",91
"9",2016-01-01,"Alaska","AK-500","Anchorage CoC","Homeless Unaccompanied Youth (Under 25)",94
"10",2016-01-01,"Alaska","AK-500","Anchorage CoC","Homeless Veterans",89
"11",2016-01-01,"Alaska","AK-500","Anchorage CoC","Parenting Youth (Under 25)",6
"12",2016-01-01,"Alaska","AK-500","Anchorage CoC","Parenting Youth Age 18-24",6
"13",2016-01-01,"Alaska","AK-500","Anchorage CoC","Parenting Youth Under 18",0
"14",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Children of Parenting Youth",6
"15",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Chronically Homeless",48
"16",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Chronically Homeless Individuals",46
"17",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Chronically Homeless People in Families",2
"18",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Homeless",865
"19",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Homeless Individuals",665
"20",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Homeless People in Families",200
"21",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Homeless Unaccompanied Children (Under 18)",3
"22",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",81
"23",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",84
"24",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Homeless Veterans",60
"25",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Parenting Youth (Under 25)",6
"26",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Parenting Youth Age 18-24",6
"27",2016-01-01,"Alaska","AK-500","Anchorage CoC","Sheltered Parenting Youth Under 18",0
"28",2016-01-01,"Alaska","AK-500","Anchorage CoC","Total Homeless",1105
"29",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Children of Parenting Youth",0
"30",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Chronically Homeless",2
"31",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Chronically Homeless Individuals",2
"32",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Chronically Homeless People in Families",0
"33",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Homeless",240
"34",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Homeless Individuals",240
"35",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Homeless People in Families",0
"36",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",0
"37",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",10
"38",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",10
"39",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Homeless Veterans",29
"40",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Parenting Youth (Under 25)",0
"41",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Parenting Youth Age 18-24",0
"42",2016-01-01,"Alaska","AK-500","Anchorage CoC","Unsheltered Parenting Youth Under 18",0
"43",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Children of Parenting Youth",4
"44",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Chronically Homeless",72
"45",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Chronically Homeless Individuals",64
"46",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Chronically Homeless People in Families",8
"47",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Homeless Individuals",622
"48",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Homeless People in Families",213
"49",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Homeless Unaccompanied Children (Under 18)",16
"50",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Homeless Unaccompanied Young Adults (Age 18-24)",63
"51",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Homeless Unaccompanied Youth (Under 25)",79
"52",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Homeless Veterans",79
"53",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Parenting Youth (Under 25)",3
"54",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Parenting Youth Age 18-24",3
"55",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Parenting Youth Under 18",0
